"Rec. num","1. Basic fuel injection pulse width (ms)","2. Coolant temperature (??C)","3. Engine Load (%)","4. Engine speed (RPM)","5. Front oxygen voltage signal (V)","6. Ignition advance angle (Grad kw)","7. Intake air manifold pressure (Kpa)","8. Vehicle speed (km/h)",
456,8.33,83,63.14,1420.00,0.125,14.5,75,59,
457,3.81,83,65.10,1473.50,0.195,18.5,62,60,
458,2.82,83,27.45,1438.00,0.845,-4.0,32,60,
459,2.38,83,22.75,1389.25,0.845,0.5,28,59,
460,4.61,83,20.39,1400.25,0.840,30.0,27,58,
461,4.90,84,57.25,1424.25,0.800,25.5,70,57,
462,3.01,83,38.82,1426.25,0.825,-4.0,41,57,
463,5.86,83,29.02,1383.25,0.840,21.5,47,57,
464,4.78,83,43.53,1410.50,0.680,27.5,50,57,
465,2.41,83,22.75,1373.25,0.850,-0.5,27,55,
466,2.26,84,20.78,1381.25,0.860,5.5,26,54,
467,2.29,84,19.61,1387.25,0.855,5.5,25,53,
468,2.29,83,20.00,1352.00,0.850,5.5,25,51,
469,2.26,83,19.61,1352.00,0.845,5.5,25,47,
470,2.21,83,19.61,1361.50,0.840,5.5,25,43,
471,2.14,83,19.61,1378.25,0.830,6.0,25,40,
472,2.12,83,19.22,1338.75,0.805,5.5,25,34,
473,2.12,83,19.22,1344.50,0.785,5.5,25,30,
474,2.26,83,19.22,1298.00,0.770,5.0,25,24,
475,2.35,83,20.00,1245.00,0.125,-5.0,26,17,
476,2.96,83,20.39,1041.75,0.505,1.5,32,11,
477,3.17,83,24.31,992.00,0.110,6.0,35,8,
478,3.34,83,25.49,946.25,0.090,6.0,36,6,
479,3.28,83,27.06,974.50,0.095,2.0,37,6,
480,3.95,83,26.67,972.50,0.085,14.0,37,6,
481,11.89,83,42.75,1231.50,0.855,12.5,68,6,
482,9.48,83,83.92,1653.50,0.265,14.0,91,11,
483,7.57,83,74.12,2053.25,0.610,17.5,84,18,
484,6.30,83,55.29,2036.00,0.715,28.0,67,24,
485,7.72,83,56.47,1887.75,0.780,20.5,73,28,
486,9.35,83,67.06,1791.00,0.760,14.5,82,31,
487,9.43,83,77.25,1828.50,0.770,14.5,86,34,
488,9.57,83,79.61,1891.50,0.780,15.0,88,38,
489,9.49,83,80.00,1943.25,0.790,15.0,88,41,
490,9.43,83,79.22,1991.50,0.770,16.0,87,45,
491,9.74,83,78.04,2027.25,0.765,15.5,86,48,
492,10.61,83,80.39,2038.00,0.485,15.5,89,56,
493,10.54,83,80.00,2194.25,0.475,16.0,87,59,
494,9.02,83,78.82,2245.50,0.145,16.0,86,61,
495,3.57,83,54.51,2350.00,0.845,33.0,52,68,
496,6.30,83,28.24,2064.50,0.840,27.5,45,69,
497,3.59,83,45.10,1882.25,0.800,32.0,52,69,
498,0.00,83,21.57,1745.25,0.015,4.0,28,67,
499,4.58,83,23.92,1470.00,0.030,33.5,30,66,
500,15.26,83,49.80,1488.25,0.915,6.5,79,66,
501,12.66,83,100.00,1590.50,0.790,5.5,101,66,
502,12.73,83,100.00,1886.00,0.745,15.5,100,72,
503,3.40,83,17.65,2201.75,0.825,33.5,31,76,
504,4.01,83,32.16,1969.00,0.750,35.0,45,75,
505,4.36,83,33.33,1818.00,0.230,35.0,40,75,
506,5.13,83,39.61,1696.00,0.760,32.0,51,74,
507,8.48,83,43.92,1696.00,0.670,26.0,53,74,
508,6.62,83,58.04,1709.50,0.090,25.0,67,75,
509,4.03,83,48.63,1717.25,0.300,36.5,50,75,
510,4.97,83,33.73,1673.75,0.115,34.5,40,75,
511,7.35,83,54.51,1663.75,0.370,22.5,68,74,
512,6.73,83,59.22,1682.50,0.400,24.5,67,75,
513,7.00,83,55.69,1691.50,0.130,23.5,66,75,
514,6.61,83,56.86,1696.00,0.170,25.0,66,76,
515,5.65,83,53.33,1700.50,0.745,28.0,61,76,
516,5.02,83,45.88,1696.00,0.145,33.0,52,76,
517,13.92,83,43.14,1688.50,0.880,7.0,69,76,
518,13.00,83,100.00,1807.75,0.230,9.5,100,76,
519,13.49,83,99.61,2201.75,0.605,13.5,100,78,
520,13.24,83,99.22,2594.50,0.760,16.0,99,80,
521,12.07,83,99.61,2874.25,0.780,18.0,98,83,
522,6.67,83,87.84,2990.50,0.765,33.0,71,85,
523,8.01,83,48.24,2291.00,0.150,23.5,65,88,
524,7.71,83,67.06,2075.50,0.140,22.5,78,88,
525,8.88,83,63.14,2021.00,0.730,19.5,75,88,
526,10.25,83,75.69,2021.00,0.650,17.0,85,89,
527,10.67,83,82.75,2031.50,0.645,15.0,90,89,
528,10.71,83,85.49,2084.50,0.115,15.5,90,90,
529,10.80,83,83.14,2302.00,0.445,16.5,90,91,
530,9.41,83,85.49,2467.75,0.810,20.0,83,92,
531,8.62,83,69.41,2546.25,0.095,21.5,79,93,
532,6.88,83,64.31,2394.00,0.610,21.0,75,94,
533,7.75,83,51.76,2248.00,0.715,21.0,72,95,
534,6.27,83,58.82,2191.75,0.515,27.5,69,95,
535,6.53,83,53.73,2128.50,0.095,29.0,66,95,
536,7.11,83,56.47,2121.50,0.120,25.0,72,95,
537,7.14,83,56.47,2121.50,0.115,26.5,69,95,
538,6.88,83,56.86,2119.00,0.110,26.5,69,95,
539,6.81,83,51.76,2109.75,0.405,28.5,66,94,
540,8.61,83,62.35,2107.50,0.615,22.0,73,94,
541,8.83,83,67.45,2123.75,0.200,20.0,78,94,
542,8.50,83,71.37,2119.00,0.100,18.5,82,95,
543,8.70,83,66.67,2130.75,0.095,21.0,78,95,
544,8.13,83,67.84,2135.50,0.105,20.0,79,95,
545,8.12,83,65.88,2159.50,0.795,20.5,77,96,
546,8.64,83,65.88,2162.00,0.785,20.5,77,96,
547,8.47,83,66.27,2167.00,0.710,20.5,77,97,
548,3.59,83,27.84,2138.00,0.750,26.0,30,96,
549,5.42,83,35.29,2123.75,0.100,33.0,50,95,
550,5.46,83,43.53,2121.50,0.300,32.0,58,95,
551,4.72,83,40.78,2102.75,0.650,33.5,51,94,
552,6.39,83,45.49,2093.75,0.850,25.0,68,94,
553,5.91,83,48.24,2089.00,0.625,30.5,61,94,
554,5.66,83,49.02,2086.75,0.510,29.5,64,93,
555,5.34,83,43.53,2075.50,0.105,32.5,55,93,
556,8.04,83,43.14,2064.50,0.790,21.0,61,93,
557,9.60,83,68.63,2077.75,0.535,17.5,82,93,
558,9.48,83,73.73,2093.75,0.455,17.5,83,93,
559,10.65,83,76.86,2102.75,0.145,16.0,88,93,
560,9.75,83,80.78,2126.00,0.395,17.5,85,94,
561,8.94,83,74.90,2138.00,0.485,17.0,86,95,
562,5.97,83,65.10,2135.50,0.695,29.5,69,95,
563,7.90,83,53.33,2130.75,0.720,24.5,70,95,
564,8.15,83,68.24,2135.50,0.630,20.5,80,95,
565,7.98,83,65.49,2138.00,0.760,21.0,77,96,
566,7.93,83,65.10,2150.00,0.785,21.0,76,96,
567,7.97,83,65.10,2147.50,0.790,21.0,77,96,
568,7.39,83,58.43,2147.50,0.095,28.5,68,96,
569,7.55,83,58.43,2150.00,0.105,24.5,71,96,
570,1.91,83,43.92,2147.50,0.825,10.0,38,96,
571,0.00,83,14.90,2077.75,0.020,4.0,21,94,
572,0.00,83,14.51,2042.50,0.015,3.5,21,93,
573,0.00,83,14.51,2006.25,0.015,3.5,22,91,
574,0.00,83,15.29,1969.00,0.015,3.5,22,89,
575,0.00,83,15.69,1925.75,0.010,3.5,23,87,
576,0.00,83,16.08,1886.00,0.010,3.5,23,86,
577,5.19,83,17.25,1849.50,0.855,33.0,31,84,
578,5.39,82,51.37,1858.50,0.725,28.0,68,83,
579,5.91,82,43.14,1855.00,0.640,30.0,56,83,
580,4.04,82,51.76,1856.75,0.705,28.0,66,83,
581,3.25,82,26.67,1823.25,0.800,20.0,28,82,
582,5.77,82,44.71,1819.75,0.725,29.5,62,81,
583,6.93,82,55.29,1816.25,0.670,25.5,69,81,
584,7.93,82,60.00,1816.25,0.455,21.5,72,81,
585,8.03,82,64.31,1828.50,0.745,20.0,75,81,
586,8.97,82,65.49,1832.00,0.780,18.0,77,82,
587,9.23,82,74.90,1847.75,0.780,16.0,83,82,
588,8.87,82,77.65,1869.50,0.780,17.0,84,84,
589,7.95,82,70.20,1897.00,0.790,19.0,79,84,
590,8.04,82,68.63,1902.75,0.790,19.0,78,85,
591,9.40,82,73.33,1912.25,0.355,17.0,83,85,
592,9.19,83,74.90,1931.50,0.210,17.0,83,86,
593,8.03,83,73.73,1941.25,0.170,18.0,81,86,
594,6.45,83,59.61,1939.25,0.095,29.0,66,87,
595,6.68,83,58.43,1939.25,0.710,24.5,71,87,
596,5.78,83,54.51,1943.25,0.095,29.0,65,87,
597,7.87,83,54.12,1941.25,0.815,21.5,72,87,
598,7.49,83,65.88,1951.00,0.810,21.0,76,87,
599,4.41,83,62.35,1955.00,0.190,31.5,67,87,
600,2.52,83,32.16,1933.50,0.090,33.0,36,86,
601,2.73,83,20.39,1887.75,0.770,24.0,24,85,
602,6.20,83,32.94,1871.25,0.835,29.5,53,84,
603,6.13,83,56.08,1882.25,0.385,24.5,69,84,
604,6.13,83,55.29,1884.00,0.100,27.5,67,84,
605,5.57,83,53.33,1878.50,0.330,28.0,65,84,
606,5.92,83,43.92,1873.00,0.130,30.5,53,84,
607,5.34,83,47.45,1867.50,0.805,30.0,59,84,
608,8.80,83,45.10,1862.25,0.805,16.5,57,83,
609,8.51,82,75.29,1886.00,0.730,16.5,83,84,
610,8.27,83,73.33,1900.75,0.755,17.0,82,84,
611,8.82,83,71.76,1912.25,0.295,17.5,81,85,
612,8.38,83,71.76,1925.75,0.240,18.5,80,85,
613,7.58,83,67.84,1931.50,0.125,20.5,77,86,
614,6.49,83,60.78,1937.25,0.775,25.0,72,87,
615,5.25,83,57.25,1949.00,0.635,28.5,68,87,
616,2.11,83,35.29,1937.25,0.835,23.5,33,87,
617,3.05,83,21.18,1910.25,0.810,30.0,30,86,
618,4.64,83,29.02,1887.75,0.655,33.0,39,85,
619,5.23,83,40.39,1882.25,0.225,32.5,52,84,
620,6.09,82,45.88,1876.75,0.670,29.0,61,84,
621,7.13,82,49.80,1873.00,0.760,28.5,62,84,
622,7.84,82,61.96,1876.75,0.615,20.5,74,84,
623,7.90,82,65.10,1889.75,0.740,20.0,76,84,
624,8.16,82,67.06,1895.25,0.775,19.0,78,85,
625,6.09,82,67.45,1904.75,0.780,21.5,77,85,
626,5.66,82,52.55,1904.75,0.080,29.0,63,85,
627,6.84,82,50.20,1899.00,0.830,26.0,64,85,
628,5.69,82,58.82,1900.75,0.110,29.0,62,85,
629,4.52,82,46.67,1899.00,0.830,31.5,57,85,
630,1.86,82,33.73,1887.75,0.850,9.0,34,84,
631,2.75,82,18.43,1840.75,0.845,27.5,29,83,
632,3.75,82,25.88,1825.00,0.720,32.0,39,82,
633,1.88,82,27.84,1809.50,0.840,7.0,30,81,
634,0.00,82,16.86,1764.50,0.010,3.5,22,80,
635,0.00,82,20.00,1641.00,0.010,3.5,25,75,
636,0.00,82,20.78,1608.00,0.010,3.5,26,73,
